#{"t_start": 1776737486.7722251, "env_id": "Hopper-v5"}
r,l,t
8.546783,16,0.738759
5.830249,12,0.741428
44.523812,34,0.748553
14.435733,17,0.75205
7.600805,16,0.756209
10.486257,31,0.762006
11.086623,19,0.766676
8.584396,19,0.770459
15.566727,20,0.775558
5.752058,15,0.778331
14.253692,24,0.782795
18.538841,22,0.787383
5.436576,10,0.789387
5.861626,10,0.791172
7.695394,10,0.792907
13.786858,17,0.796649
8.107361,11,0.798839
8.688801,12,0.801179
10.902214,17,0.805016
6.779542,22,0.809327
7.006316,10,0.811112
11.892233,16,0.814547
10.257838,15,0.81759
23.761843,23,0.822829
15.692122,21,0.827131
4.219513,7,0.828674
7.421014,26,0.834136
5.306238,16,0.837074
7.665621,25,0.843624
10.332583,26,0.848532
6.258138,12,0.851514
6.225682,10,0.853538
6.919579,11,0.855834
11.912464,14,0.858403
49.012683,35,0.867198
5.527258,12,0.869484
9.269909,13,0.875486
8.764982,13,0.87805
35.211884,37,0.885853
10.163222,21,0.890207
10.999042,14,0.893039
22.91185,35,0.90077
15.828355,27,0.90663
16.981723,16,0.909563
10.887038,13,0.912032
5.957203,10,0.914388
15.442436,27,0.920194
5.429353,22,0.924789
14.637837,19,0.930139
15.464376,17,0.933266
7.717699,13,0.935624
4.635988,9,0.937222
7.005932,11,0.939366
26.919154,27,0.944332
9.921214,16,0.947148
3.020759,18,0.950689
8.118711,18,0.954566
19.898165,23,0.958935
14.350235,18,0.962177
18.037664,34,0.968623
9.242233,13,0.970956
6.946168,12,0.973611
13.230896,33,0.980246
7.015542,10,0.982187
4.503213,8,0.983599
6.622064,27,0.988843
6.783654,9,0.990434
5.849443,10,0.99217
55.491395,39,0.999292
13.009275,17,1.002617
11.841309,17,1.005915
7.113762,11,1.007874
39.958262,42,1.018467
7.55954,11,1.021296
8.485499,16,1.024389
10.123062,16,1.027414
9.581794,18,1.031082
8.805503,12,1.03426
5.962067,9,1.036233
5.135652,9,1.03864
7.526623,11,1.041656
12.10796,16,1.045806
5.912726,9,1.047527
4.45589,8,1.049702
13.46454,23,1.056675
14.451478,22,1.061963
9.797131,13,1.064985
10.357353,26,1.071087
7.118633,10,1.073154
22.001112,21,1.077111
4.476164,9,1.078696
5.780066,20,1.083005
9.092533,14,1.086022
9.085014,13,1.088503
10.37951,14,1.091216
10.501121,16,1.094402
23.921278,30,1.100652
9.070393,16,1.104145
10.071047,12,1.106878
16.356917,27,1.11211
7.037935,18,1.115732
16.262736,18,1.119522
5.129372,9,1.12116
2.743075,26,1.126542
9.549716,29,1.132246
8.496588,12,1.134998
8.066172,14,1.137746
7.638211,24,1.144018
